step   ball_X    ball_Y    side
97     0    0        f
98     0    0        f
99     0    0        f
100     0    0        f
101     0    0        f
102     0    0        f
103     0    0        f
104     0    0        f
105     0    0        l
106     0    0        l
107     0    0        l
108     0    0        l
109     0    0        l
110     0    0        l
111     0    0        l
112     0    0        l
113     0    0        l
114     0    0        l
115     0    0        l
116     0    0        l
117     0    0        l
118     0    0        f
119     73    21        f
120     143    41        f
121     210    61        f
122     274    79        f
123     335    97        f
124     394    113        f
125     449    130        f
126     503    145        f
127     553    160        f
128     602    174        f
129     648    187        f
130     692    200        f
131     734    212        f
132     775    224        f
133     813    235        f
134     850    246        f
135     885    256        f
136     919    266        f
137     951    275        f
138     981    284        f
139     1010    292        f
140     1038    300        f
141     1065    308        f
142     1090    315        f
143     1115    323        f
144     1138    329        f
145     1160    336        f
146     1181    342        f
147     1201    348        f
148     1221    353        f
149     1239    358        f
150     1257    364        f
151     1274    368        f
152     1290    373        f
153     1305    377        f
154     1320    382        f
155     1334    386        f
156     1347    390        f
157     1360    393        f
158     1360    393        r
159     1360    393        f
160     1244    488        f
161     1134    580        f
162     1028    667        f
163     927    751        f
164     832    830        f
165     740    907        f
166     652    978        f
167     568    1049        f
168     488    1115        f
169     412    1178        f
170     339    1239        f
171     269    1297        f
172     202    1352        f
173     139    1405        f
174     78    1455        f
175     20    1504        f
176     -35    1550        f
177     -88    1593        f
178     -138    1635        f
179     -186    1675        f
180     -186    1675        l
181     -186    1675        f
182     -118    1568        f
183     -53    1465        f
184     9    1367        f
185     68    1273        f
186     125    1184        f
187     180    1098        f
188     231    1017        f
189     281    939        f
190     329    865        f
191     374    794        f
192     417    726        f
193     458    661        f
194     498    600        f
195     535    541        f
196     571    484        f
197     571    484        l
198     571    484        f
199     630    612        f
200     687    735        f
201     740    851        f
202     792    963        f
203     841    1070        f
204     888    1171        f
205     933    1269        f
206     976    1362        f
207     1017    1450        f
208     1056    1535        f
209     1056    1535        r
210     1056    1535        f
211     980    1526        f
212     907    1517        f
213     838    1508        f
214     772    1500        f
215     708    1492        f
216     648    1484        f
217     591    1477        f
218     536    1470        f
219     483    1464        f
220     433    1457        f
221     385    1451        f
222     339    1446        f
223     295    1440        f
224     252    1435        f
225     213    1430        f
226     175    1425        f
227     139    1421        f
228     104    1416        f
229     71    1412        f
230     39    1408        f
231     9    1405        f
232     -19    1401        f
233     -47    1397        f
234     -73    1394        f
235     -99    1391        f
236     -123    1388        f
237     -146    1385        f
238     -168    1382        f
239     -189    1380        f
240     -209    1377        f
241     -227    1375        f
242     -246    1373        f
243     -263    1370        f
244     -280    1368        f
245     -296    1366        f
246     -311    1364        f
247     -326    1363        f
248     -339    1361        f
249     -353    1359        f
250     -365    1358        f
251     -378    1356        f
252     -389    1355        f
253     -400    1353        f
254     -411    1352        f
255     -421    1351        f
256     -430    1350        f
257     -438    1348        f
258     -448    1347        f
259     -457    1346        f
260     -465    1345        f
261     -472    1344        f
262     -472    1344        l
263     -472    1344        l
264     -472    1344        f
265     -336    1282        f
266     -204    1223        f
267     -80    1167        f
268     38    1113        f
269     151    1061        f
270     260    1011        f
271     363    965        f
272     463    919        f
273     557    877        f
274     647    836        f
275     734    797        f
276     816    759        f
277     894    724        f
278     969    690        f
279     1041    657        f
280     1110    626        f
281     1175    596        f
282     1237    568        f
283     1297    541        f
284     1297    541        l
285     1297    541        f
286     1357    493        f
287     1414    447        f
288     1468    404        f
289     1520    362        f
290     1570    322        f
291     1617    284        f
292     1663    248        f
293     1705    214        f
294     1748    180        f
295     1787    149        f
296     1825    119        f
297     1861    90        f
298     1895    62        f
299     1928    36        f
